,Unnamed: 0,title,company,location,link,description,skills
0,0,Entry Level Pawnbroker,Cash Box Pawn Shop,"Edmonton, AB",https://ca.indeed.com/rc/clk?cmp=Mega-Pawn-LTD-o%2Fa-Cash-Box-Pawn-Shop&ti=Entry+Level+Pawnbroker&jk=4133514fd89ba0d7&fccid=8fdf3be0ee12f163&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>We are a locally owned company, based in Alberta. Here at Cash Box we have great culture that can be detected by the sound of laughter on our showroom floors. We embody that Alberta hard work attitude while having fun. We treat our employees with the highest regard as we believe that if our employees are taken care of, they in turn will take care of our customers. We offer a competitive base hourly wage plus a sales commission, this job also comes with benefits after completion of probation period. Cash Box is always looking to expand, so if you are looking for a career, not just a job. The room for growth with Cash Box is phenomenal. If your looking for something that is never the same two days in a row, Cash Box is the place for you!</p>
<p><b>This post is for our location on 97th Street</b></p>
<p><b>Job Requirements: </b></p>
<p>- Must be a minimum of 18 years of age</p>
<p>- Reliable transportation to work on time daily</p>
<p>- Able to work evenings and weekends</p>
<p>- Outgoing personality</p>
<p>- Highly Motivated</p>
<p><b>Job Description: </b></p>
<p>The ability to deal with a high volume of clients with a friendly and professional demeanor. Process loans, sales, layaway's and redemption's. Daily checklists, and reminder calls. The ability to source outside sales through online marketplaces. Speed and accuracy is a big part of the job. Daily cleaning of store is also required.</p>
<p><b>Assets: </b></p>
<p>-Previous retail experience</p>
<p>-Tech Savvy</p>
<p>-Mathlete</p>
<p>-Cash Handling / POS</p>
<p>-Gold and Diamonds training</p>
<p>Job Types: Full-time, Permanent</p>
<p>Salary: $15.00 per hour</p>
<p>Additional pay:</p>
<ul>
<li>Commission pay</li>
</ul>
<p>Benefits:</p>
<ul>
<li>Casual dress</li>
<li>On-site parking</li>
<li>Store discount</li>
</ul>
<p>Schedule:</p>
<ul>
<li>8 hour shift</li>
</ul>
<p>Experience:</p>
<ul>
<li>Retail Associates &amp; Cashiers: 1 year (preferred)</li>
<li>sales: 1 year (preferred)</li>
</ul>
</div>","['On-site parking', '- Outgoing personality', '- Must be a minimum of 18 years of age', 'Additional pay:', '- Able to work evenings and weekends', 'Experience:', '-Previous retail experience', 'Retail Associates & Cashiers: 1 year (preferred)', 'Casual dress', 'sales: 1 year (preferred)', '- Highly Motivated']"
1,1,newRetail Sales and Pawnbroker,Big Ed's Pawn,"Thunder Bay, ON",https://ca.indeed.com/company/Big-Ed's-Pawn/jobs/Retail-Sales-Pawnbroker-76f57649f080a866?fccid=e862e82e85bb6b0b&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>Looking for a part-time employee for Mondays 9:00am -6:00pm and Saturdays 9:00am-5:00pm. There is the option for more shifts at one of our other stores during the week to bring you up to full-time hours if you would prefer.</p>
<p>Applicants must be 18 years old and bondable (no criminal record)</p>
<p>Sales and computer knowledge an asset but not required</p>
<p>Job starts at $15 an hour with performance based raises semi-annually to annually</p>
<p>Please apply in person with resume for a mini on the spot interview.</p>
<p>Job Types: Full-time, Part-time<br/>Part-time hours: 17-44 per week</p>
<p>Salary: $15.00-$15.25 per hour</p>
<p>Benefits:</p>
<ul>
<li>Store discount</li>
</ul>
<p>Schedule:</p>
<ul>
<li>8 hour shift</li>
<li>Day shift</li>
<li>Weekend availability</li>
</ul>
<p>Application question(s):</p>
<ul>
<li>Are you available Mondays 9:00am-6:00pm and Saturdays 9:00am-5:00pm?</li>
<li>Do you just want Monday and Saturday shifts or would you like full-time hours?</li>
<li>We may have openings at our other locations. Which side of town would be best for you?</li>
</ul>
</div>","['Are you available Mondays 9:00am-6:00pm and Saturdays 9:00am-5:00pm?', 'Applicants must be 18 years old and bondable (no criminal record)', 'Looking for a part-time employee for Mondays 9:00am -6:00pm and Saturdays 9:00am-5:00pm. There is the option for more shifts at one of our other stores during the week to bring you up to full-time hours if you would prefer.', 'Do you just want Monday and Saturday shifts or would you like full-time hours?']"
2,2,Merchandise Evaluator - Loans Officer,Royal City Jewellers & Loans Ltd.,"New Westminster, BC",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ATubr7BxbWX_ILrpI3eqbl6GBVsjmrXF3Vigw1msWfUO5OpSt4rD1X6QJ1vAkXvsnsHh81njwxDmMButHarScxf29ToXJqMnb7uVYdKxKGkNYy1SvwFPBO69dPP3x_t8kSTMuClKTh0MNbR8dyTNa5KWMl5RBTRWRlFTnQphG-Fpyc1ujLiQEj08EoZIKfjNZbVL_svbFeDzQ2v-sjqxlB2VeHEwAaJRkFnD3E7dqdK3DNyOGuGt6mvjnBiUZuVJLtqCgR3iIOPHsK5EeTcrENi7KzgNZt5cF4Bw1tAYBPhvMkkWzSS29LzVnEOJ1rFrvSts6gC-h-3jy2zNb4pF6PkiDx2ljE_6sMHwFCnes9TjqRu1F51U7AR-0ly5Xc9GCs-VJz_OZtIqcJpfRIc0UJhvWCP-4Tf9R5bj66j4Oqn7MWVt4k0qLXcUHUIBCNVXxWPRp9x2LPMdgGtNWdTwDiR3HkvUes0-sLi-H4AAN2Oo6iM6-rHzndx1FCY2UtFIQ=&p=2&fvj=1&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>Canada's largest, single location Pawnbroker. Royal City Jewellers &amp; Loans Ltd. is looking for a self-motivated individual who understands the importance of customer service and prioritizes delivering exceptional service to our customers. Develop your career in our Loan's Department as a Loan Officer.</p>
<p><b>Responsibilities and Duties</b></p>
<p>As a Loan Officer, you will be responsible for evaluating and pricing consumer goods for purchase by the company or for use as collateral items. General warehousing duties and cash handling are also common tasks.</p>
<p><b>Skills &amp; Experience</b></p>
<ul>
<li>Fluency in English and strong communication skills, both verbal and written.</li>
<li>Outstanding interpersonal skills and ability to work with a diverse client base.</li>
<li>Basic computer skills including emails.</li>
<li>Basic Mathematics</li>
<li>Exceptional customer service</li>
<li>Ability to work in a fast-paced, changing environment.</li>
<li>Attention to detail and good follow-through with tasks.</li>
<li>Good organization skills and willingness to learn.</li>
<li>Teamwork, teamwork, teamwork!</li>
</ul>
<p>--</p>
<p>As Canada's largest pawnbroker, we value diversity, integrity, quality, teamwork, and excellent service. A successful candidate will be responsible for engaging with our customers, understanding their needs, conducting their duties, and delivering information when necessary.</p>
<p>--</p>
<p><b>NOTE: This is a full-time position (5 days per week) and does not require working nights or Sundays.</b></p>
<p><b>--</b></p>
<p><i>Since 1955, Royal City Jewellers and Loans Ltd. has been a family-owned and operated destination on Columbia Street, New Westminster. With 66 years of service under our belt, we are proud to be Canada's largest single store pawnbroker. We have a wide variety of items of retail as well as services such as jewellery design and repair</i></p>
<p>Work Remotely</p>
<ul>
<li>No</li>
</ul>
<p>Job Type: Full-time</p>
<p>Benefits:</p>
<ul>
<li>Dental care</li>
<li>Extended health care</li>
</ul>
</div>","['Basic computer skills including emails.', 'Exceptional customer service', 'Outstanding interpersonal skills and ability to work with a diverse client base.', ""Canada's largest, single location Pawnbroker. Royal City Jewellers & Loans Ltd. is looking for a self-motivated individual who understands the importance of customer service and prioritizes delivering exceptional service to our customers. Develop your career in our Loan's Department as a Loan Officer."", ""Since 1955, Royal City Jewellers and Loans Ltd. has been a family-owned and operated destination on Columbia Street, New Westminster. With 66 years of service under our belt, we are proud to be Canada's largest single store pawnbroker. We have a wide variety of items of retail as well as services such as jewellery design and repair"", 'Extended health care', 'Good organization skills and willingness to learn.', 'Skills & Experience', 'Dental care', 'Work Remotely']"
